                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                 1.3123,                0.61263,                0.98868,                0.86905,                 0.6302,                0.71727,                0.39559,                  1.318,                0.55412,                 1.0241,               0.006337,               0.006337,               0.006337
                     41,                 1.3223,                0.61986,                0.99204,                0.86555,                0.63309,                0.71737,                0.39593,                 1.3181,                0.55169,                 1.0243,               0.006139,               0.006139,               0.006139
                     42,                 1.3182,                0.61424,                 0.9907,                0.86398,                0.63513,                0.71814,                0.39617,                 1.3167,                0.55042,                 1.0256,                0.00604,                0.00604,                0.00604
                     43,                 1.3072,                 0.6076,                0.98535,                0.86249,                0.63183,                0.71682,                0.39624,                 1.3168,                 0.5479,                 1.0201,               0.005941,               0.005941,               0.005941
                     44,                 1.3129,                0.60977,                0.98759,                0.86791,                0.63365,                0.71812,                0.39654,                 1.3197,                 0.5455,                 1.0244,               0.005842,               0.005842,               0.005842
                     45,                 1.3071,                0.60706,                0.98113,                0.86729,                0.63267,                 0.7177,                0.39603,                 1.3207,                0.54646,                 1.0258,               0.005743,               0.005743,               0.005743
                     46,                 1.3055,                0.60449,                0.98332,                0.86746,                0.63146,                0.71765,                0.39655,                 1.3206,                 0.5452,                 1.0254,               0.005644,               0.005644,               0.005644
                     47,                 1.3016,                0.60071,                0.97943,                0.86955,                0.63173,                0.71885,                0.39731,                 1.3213,                0.54464,                 1.0232,               0.005545,               0.005545,               0.005545
                     48,                 1.2947,                0.59906,                0.98132,                0.86644,                0.63506,                0.71966,                0.39749,                 1.3192,                0.54316,                 1.0257,               0.005446,               0.005446,               0.005446
                     49,                 1.2992,                0.60054,                0.98439,                0.86284,                0.63816,                0.72043,                0.39627,                 1.3223,                0.54408,                 1.0278,               0.005347,               0.005347,               0.005347
                     50,                 1.2896,                0.59438,                0.98029,                0.86446,                0.63735,                0.72124,                0.39826,                 1.3191,                0.54288,                 1.0278,               0.005248,               0.005248,               0.005248
                     51,                 1.2811,                0.58943,                0.97421,                0.86648,                 0.6361,                0.72076,                0.39909,                 1.3178,                0.54029,                 1.0248,               0.005149,               0.005149,               0.005149
                     52,                 1.2849,                0.59316,                0.97659,                0.86659,                0.63645,                0.72177,                0.39867,                 1.3181,                0.53958,                 1.0249,                0.00505,                0.00505,                0.00505
                     53,                 1.2745,                0.58414,                0.97678,                0.86728,                0.63851,                  0.723,                0.40078,                  1.316,                0.53786,                 1.0261,               0.004951,               0.004951,               0.004951
                     54,                 1.2766,                0.58567,                0.97479,                0.86763,                0.63902,                0.72322,                0.40122,                 1.3145,                0.53648,                 1.0255,               0.004852,               0.004852,               0.004852
                     55,                 1.2665,                0.57909,                0.96916,                0.86607,                0.64018,                0.72352,                0.40092,                 1.3158,                 0.5355,                 1.0259,               0.004753,               0.004753,               0.004753
                     56,                 1.2648,                0.57728,                0.97299,                0.86924,                0.63927,                0.72439,                0.40134,                 1.3168,                0.53513,                 1.0281,               0.004654,               0.004654,               0.004654
                     57,                 1.2682,                0.57691,                0.96946,                0.86754,                0.64043,                0.72484,                0.40168,                 1.3167,                0.53478,                 1.0264,               0.004555,               0.004555,               0.004555
                     58,                 1.2605,                0.57348,                0.96695,                0.86552,                0.64222,                0.72543,                0.40217,                 1.3171,                0.53492,                 1.0272,               0.004456,               0.004456,               0.004456
                     59,                 1.2551,                0.57159,                0.96828,                0.86723,                0.64055,                 0.7251,                0.40223,                  1.317,                0.53502,                  1.028,               0.004357,               0.004357,               0.004357
                     60,                 1.2506,                0.56834,                0.96749,                0.86888,                0.64138,                0.72575,                 0.4016,                 1.3181,                0.53439,                 1.0297,               0.004258,               0.004258,               0.004258
